Wall Street	x
closes	x
without	x
momentum	n
,	x
slowed	x
by	x
a	x
strengthening	j
dollar	n
The	x
New York Stock Exchange	x
closed	x
with	x
no	x
particular	j
heading	n
on	x
Friday	x
,	x
in	x
a	x
market	n
torn	x
between	x
better	j
than	x
expected	x
indicators	n
in	x
the	x
United States	x
and	x
a	x
strengthening	j
dollar	n
:	x
the	x
Dow Jones	x
gained	x
<number>	x
%	n
but	x
the	x
NASDAQ	x
dropped	x
<number>	x
%	n
<eos>	x
According	x
to	x
final	j
closing	n
figures	n
,	x
the	x
Dow Jones Industrial Average	x
has	x
risen	x
by	x
<number>	x
points	n
to	x
<number>	x
<number>	x
points	n
,	x
whereas	x
the	x
NASDAQ	x
,	x
with	x
a	x
technology	n
predominance	n
,	x
fell	x
by	x
<number>	x
point	n
to	x
<number>	x
<number>	x
points	n
<eos>	x
The	x
wider	j
Standard & Poor	x
's	x
<number>	x
has	x
itself	x
advanced	x
by	x
<number>	x
%	n
(	x
<number>	x
points	n
)	x
to	x
<number>	x
<number>	x
points	n
<eos>	x
Frankly	r
,	x
the	x
market	n
is	v
very	r
calm	j
,	x
observes	x
Mace	x
Blicksilver	x
of	x
Marblehead	x
Asset Management	x
<eos>	x
It	x
remains	x
within	x
a	x
narrow margin	x
;	x
trading	n
volumes	n
have	x
become	x
very	r
weak	j
,	x
and	x
I	x
think	x
that	x
this	x
will	x
remain	x
the	x
case	n
until	x
the	x
end	n
of	x
the	x
year	n
<eos>	x
The	x
trend	n
was	v
supported	x
by	x
the	x
publication	n
of	x
better	j
than	x
expected	x
economic	j
indicators	n
,	x
which	x
``	x
have	x
contributed	x
to	x
improving	x
market	n
opinion	n
in	x
relation	n
to	x
the	x
robustness	n
of	x
the	x
economic	j
recovery	n
''	x
,	x
summarised	x
Charles Schwab	x
's	x
analysts	n
<eos>	x
In	x
the	x
United States	x
,	x
retail	j
sales	n
have	x
increased	x
by	x
<number>	x
%	n
in	x
November	x
,	x
for	x
the	x
second	j
month	n
in	x
a	x
row	n
,	x
and	x
far	r
more	r
than	x
predicted	x
<eos>	x
Moreover	r
,	x
the	x
confidence	n
of	x
American	j
consumers	n
has	x
clearly	r
bounced	x
back	r
in	x
December	x
,	x
to	x
<number>	x
against	x
<number>	x
the	x
previous	j
month	n
,	x
according	x
to	x
preliminary	j
estimates	n
from	x
Michigan University	x
's	x
index	n
<eos>	x
The	x
indices	n
have	x
,	x
however	r
,	x
been	v
slowed	x
by	x
a	x
renewed	j
rise	n
of	x
the	x
dollar	n
,	x
to	x
a	x
new	j
two-month	j
high	n
against	x
the	x
Euro	x
,	x
which	x
``	x
puts	x
downward	j
pressure	n
on	x
the	x
sectors	n
that	x
are	v
sensitive	j
to	x
the	x
economic	j
situation	n
''	x
,	x
explained	x
Owen	x
Fitzpatrick	x
from	x
Deutsche Bank	x
<eos>	x
Technology	n
securities	n
have	x
thereby	r
lost	x
some	x
ground	n
<eos>	x
The	x
bond market	n
has	x
fallen	x
<eos>	x
Treasury	x
<number>	j
bond	n
yields	n
have	x
grown	x
to	x
<number>	x
%	n
against	x
<number>	x
%	n
on	x
Tuesday	x
evening	n
,	x
and	x
<number>	j
bond	n
yields	n
are	v
at	x
<number>	x
%	n
against	x
<number>	x
%	n
the	x
previous	j
evening	n
<eos>	x
