pages	n
highly	r
detailed	a
account	n
scandal	n
begins	v
reassuring	a
note	n
Right	r
preface	n
co-author	n
gives	v
example	n
own	a
integrity	n
offered	v
free	a
trip	n
home	n
one	a
principals	n
tells	v
reader	n
mindful	a
accepting	v
value	n
writing	v
declined	v
question	n
author	n
believe	v
high-minded	a
note	n
assurance	n
is	v
necessary	a
answered	v
reading	v
book	n
scammers	n
Bribe	n
bribe	n
co-author	n
lead	v
path	n
traveled	v
inception	n
small	a
manufacturing	v
company	n
status	n
full-fledged	a
defense	n
contractor	n
entrusted	v
task	n
producing	v
vital	a
equipment	n
book	n
revolves	v
founder	n
company	n
became	v
partner	n
soon	r
creation	n
started	v
really	r
get rolling	v
discovered	v
federal	a
government	n
Section	n
minority	n
business	n
program	n
is	v
era	n
creation	n
mandates	v
certain	a
government	n
contracts	n
awarded	v
noncompetitively	r
minority	n
businesses	n
realized	v
Italian	a
ancestry	n
still	r
qualify	v
minority	n
person	n
born	v
two	a
partners	n
merely	r
falsify	v
true	a
ownership	n
corporation	n
Instead	r
became	v
paper	n
only	r
were	v
program	n
Besides	r
being	v
company	n
located	v
blighted	a
area	n
made	v
famous	a
presidential	a
campaign	n
company	n
right	r
campaign	n
rhetoric	n
rebuilding	v
kept	v
using	v
minority	n
angle	n
Starting	v
now	r
serving	v
jail	n
sentence	n
company	n
began	v
career	n
bribing	v
federal	a
state	n
local	a
public	a
officials	n
close	a
public	a
officials	n
right	r
close	a
friend	n
adviser	n
former	a
Attorney General	n
just	r
use	v
bribery	n
made	v
ample	a
use	n
modern	a
techniques	n
influence	n
peddling	n
retaining	v
politically	r
connected	a
respectable	a
law	n
firms	n
investment	n
bankers	n
political	a
consultants	n
confidant	n
necessary	a
sought	v
received	v
assistance	n
organized	a
crime	n
Sometimes	r
became	v
partners	n
company	n
management	n
used	v
merit	n
system	n
were	v
especially	r
helpful	a
corrupt	a
scheme	n
received	v
just	r
cash	n
bag	n
equity	n
were	v
effective	a
crook	n
found	v
fate	n
eventually	r
befell	v
firm	n
semiliterate	a
minority	n
person	n
sensational	a
nature	n
revelations	n
breezy	a
tabloid	n
writing	n
style	n
often	r
falls short of	v
gripping	a
reading	n
scams	n
show	v
ingenuity	n
Auditors	n
found	v
first	a
day	n
job	n
scammers	n
simply	r
bribed	v
shut up	v
scammers	n
were	v
low lifes	n
conspicuous	a
consumers	n
wanted	v
big	a
houses	n
cars	n
beautiful	a
women	n
expensive	a
clothes	n
lot	n
wrestling	v
good	n
evil	n
especially	r
intelligent	a
even	r
temporarily	r
insane	a
one	a
character	n
at least	r
somewhat	r
interesting	a
was	v
pediatrician	n
changed	v
name	n
became	v
master	n
gambler	n
author	n
book	n
blackjack	n
enters	v
story	n
end	n
just	r
in time	r
get	v
arrested	v
Absorbed	v
doling out	v
tidbits	n
authors	n
gloss over	v
root	n
causes	n
namely	r
Section	n
federal	a
program	n
auspices	n
scandal	n
took place	v
at least	r
come around	v
saying	v
courts	n
want	v
end	v
rigid	a
affirmative action	n
programs	n
Programs	n
Section	n
are	v
a little	r
leaving	v
gold	n
street	n
then	r
expressing	v
surprise	n
thieves	n
walk	v
scoop	v
Numerous	a
other	a
scandals	n
have	v
characteristics	n
take place	v
government	n
programs	n
seem	v
corruption	n
programs	n
eliminated	v
provide	v
clues	n
levels	n
government	n
are	v
groups	n
people	n
described	v
belonging to	v
political	a
insider	n
commercial	a
party	n
know	v
government	n
redistributing	v
wealth	n
regulating	v
commerce	n
maintaining	v
large	a
defense	n
establishment	n
is	v
big	a
money	n
made	v
influencing	v
brokering	v
selling	v
processes	n
decisions	n
government	n
are	v
version	n
bloc	n
Nomenklatura	n
have	v
absolutely	r
wish	n
see	v
change	v
government	n
programs	n
policies	n
exist	v
line	v
pockets	n
political	a
insiders	n
real	a
issue	n
raised	v
scandal	n
was	v
chairman	n
chief executive officer	n
